year,month,project,downloads
2020,2,django,4976414
2020,2,flask,12386143
2020,2,keras,2626121
2020,2,lightgbm,2120128
2020,2,matplotlib,9325354
2020,2,numpy,39071806
2020,2,pandas,19065749
2020,2,plotly,2286037
2020,2,pymc3,65125
2020,2,pyspark,3168089
2020,2,pytorch,33755
2020,2,scikit-learn,14136835
2020,2,scipy,16452631
2020,2,scrapy,449530
2020,2,seaborn,1541698
2020,2,selenium,2602972
2020,2,streamlit,70370
2020,2,tensorflow,6833978
2020,2,torch,1074074
2020,2,xgboost,2737226
2020,3,altair,322711
2020,3,beautifulsoup,243622
2020,3,bokeh,1023817
2020,3,dash,248777
2020,3,django,5727589
2020,3,flask,14306929
2020,3,keras,2777268
2020,3,lightgbm,4881942
2020,3,matplotlib,9838934
2020,3,numpy,40641035
2020,3,pandas,22643094
2020,3,plotly,2675486
2020,3,pymc3,87346
2020,3,pyspark,3557320
2020,3,pytorch,35795
2020,3,scikit-learn,15226152
2020,3,scipy,18201342
2020,3,scrapy,461309
2020,3,seaborn,1753925
2020,3,selenium,3110204
2020,3,streamlit,76017
2020,3,tensorflow,8895453
2020,3,torch,1502680
2020,3,xgboost,3342421
2020,4,altair,391446
2020,4,beautifulsoup,195637
2020,4,bokeh,831833
2020,4,dash,285523
2020,4,django,5517819
2020,4,flask,15253703
2020,4,keras,2592667
2020,4,lightgbm,4805309
2020,4,matplotlib,11295127
2020,4,numpy,40563331
2020,4,pandas,23400289
2020,4,plotly,2890053
2020,4,pymc3,87070
2020,4,pyspark,3520205
2020,4,pytorch,37518
2020,4,scikit-learn,13330237
2020,4,scipy,20104423
2020,4,scrapy,430835
2020,4,seaborn,1988964
2020,4,selenium,3390095
2020,4,streamlit,71499
2020,4,tensorflow,10289879
2020,4,torch,1472276
2020,4,xgboost,2537788
2020,5,altair,540266
2020,5,beautifulsoup,257857
2020,5,bokeh,851734
2020,5,dash,313499
2020,5,django,5017043
2020,5,flask,14497982
2020,5,keras,2637276
2020,5,lightgbm,3579412
2020,5,matplotlib,11469747
2020,5,numpy,39077774
2020,5,pandas,23372402
2020,5,plotly,3312972
2020,5,pymc3,98836
2020,5,pyspark,4143833
2020,5,pytorch,38038
2020,5,scikit-learn,13282055
2020,5,scipy,23805202
2020,5,scrapy,357612
2020,5,seaborn,1985781
2020,5,selenium,3389322
2020,5,streamlit,79856
2020,5,tensorflow,13641486
2020,5,torch,1643262
2020,5,xgboost,3043752
2020,6,altair,565433
2020,6,beautifulsoup,319697
2020,6,bokeh,921829
2020,6,dash,329680
2020,6,django,5636885
2020,6,flask,13530087
2020,6,keras,2709611
2020,6,lightgbm,1882907
2020,6,matplotlib,10897157
2020,6,numpy,39351778
2020,6,pandas,25285032
2020,6,plotly,3455673
2020,6,pymc3,110651
2020,6,pyspark,5839836
2020,6,pytorch,37040
2020,6,scikit-learn,11606691
2020,6,scipy,21267970
2020,6,scrapy,395278
2020,6,seaborn,2042174
2020,6,selenium,3551393
2020,6,streamlit,110263
2020,6,tensorflow,11959059
2020,6,torch,1846227
2020,6,xgboost,3067186
2020,7,altair,700680
2020,7,beautifulsoup,447090
2020,7,bokeh,1191055
2020,7,dash,348059
2020,7,django,5468709
2020,7,flask,14095278
2020,7,keras,3399554
2020,7,lightgbm,2042952
2020,7,matplotlib,10703915
2020,7,numpy,46009236
2020,7,pandas,28129323
2020,7,plotly,3645270
2020,7,pymc3,126210
2020,7,pyspark,6700965
2020,7,pytorch,39007
2020,7,scikit-learn,13530162
2020,7,scipy,23674362
2020,7,scrapy,339237
2020,7,seaborn,2092918
2020,7,selenium,3752361
2020,7,streamlit,178158
2020,7,tensorflow,14034648
2020,7,torch,1917181
2020,7,xgboost,3346164
2020,8,altair,787574
2020,8,beautifulsoup,419912
2020,8,bokeh,1287113
2020,8,dash,342758
2020,8,django,5134498
2020,8,flask,14207282
2020,8,keras,3069756
2020,8,lightgbm,2021503
2020,8,matplotlib,11127731
2020,8,numpy,63331762
2020,8,pandas,29943867
2020,8,plotly,3682251
2020,8,pymc3,144498
2020,8,pyspark,7097735
2020,8,pytorch,41449
2020,8,scikit-learn,12933308
2020,8,scipy,18414594
2020,8,scrapy,324239
2020,8,seaborn,2128108
2020,8,selenium,3942343
2020,8,streamlit,234147
2020,8,tensorflow,11475816
2020,8,torch,2042679
2020,8,xgboost,3409740
2020,9,altair,759164
2020,9,beautifulsoup,545595
2020,9,bokeh,1562990
2020,9,dash,353803
2020,9,django,5681088
2020,9,flask,14442223
2020,9,keras,2610125
2020,9,lightgbm,2028052
2020,9,matplotlib,13731016
2020,9,numpy,61847719
2020,9,pandas,32608810
2020,9,plotly,3829663
2020,9,pymc3,137287
2020,9,pyspark,7062674
2020,9,pytorch,38287
2020,9,scikit-learn,14480839
2020,9,scipy,19261750
2020,9,scrapy,1134776
2020,9,seaborn,2610037
2020,9,selenium,4215627
2020,9,streamlit,148690
2020,9,tensorflow,11734840
2020,9,torch,2148279
2020,9,xgboost,3963748
2020,10,altair,846334
2020,10,beautifulsoup,679569
2020,10,bokeh,1570456
2020,10,dash,378212
2020,10,django,6439712
2020,10,flask,15811689
2020,10,keras,2661650
2020,10,lightgbm,2024529
2020,10,matplotlib,14695388
2020,10,numpy,61294035
2020,10,pandas,40063993
2020,10,plotly,4093743
2020,10,pymc3,164622
2020,10,pyspark,9679279
2020,10,pytorch,41067
2020,10,scikit-learn,15036998
2020,10,scipy,19906559
2020,10,scrapy,1700976
2020,10,seaborn,2813728
2020,10,selenium,4547485
2020,10,streamlit,153525
2020,10,tensorflow,13243130
2020,10,torch,2442328
2020,10,xgboost,4195209
2020,11,altair,878721
2020,11,beautifulsoup,670241
2020,11,bokeh,1665698
2020,11,dash,375379
2020,11,django,6150691
2020,11,flask,16272459
2020,11,keras,2945933
2020,11,lightgbm,2114499
2020,11,matplotlib,14152907
2020,11,numpy,58590804
2020,11,pandas,36084384
2020,11,plotly,4299819
2020,11,pymc3,176533
2020,11,pyspark,9638413
2020,11,pytorch,45632
2020,11,scikit-learn,14724152
2020,11,scipy,19579392
2020,11,scrapy,1051717
2020,11,seaborn,2814460
2020,11,selenium,4431138
2020,11,streamlit,181752
2020,11,tensorflow,12700306
2020,11,torch,2443642
2020,11,xgboost,4188172
2020,12,altair,988045
2020,12,beautifulsoup,680430
2020,12,bokeh,1602073
2020,12,dash,396391
2020,12,django,6216022
2020,12,flask,17304161
2020,12,keras,2972147
2020,12,lightgbm,2142096
2020,12,matplotlib,13982381
2020,12,numpy,58851854
2020,12,pandas,37235132
2020,12,plotly,4358205
2020,12,pymc3,191070
2020,12,pyspark,9625260
2020,12,pytorch,38004
2020,12,scikit-learn,15114225
2020,12,scipy,20895671
2020,12,scrapy,881995
2020,12,seaborn,3233612
2020,12,selenium,5316154
2020,12,streamlit,181665
2020,12,tensorflow,9903285
2020,12,torch,2748040
2020,12,xgboost,4088157
2021,1,altair,1047247
2021,1,beautifulsoup,499079
2021,1,bokeh,1621646
2021,1,dash,386202
2021,1,django,6141972
2021,1,flask,18269237
2021,1,keras,2906360
2021,1,lightgbm,2218327
2021,1,matplotlib,15427880
2021,1,numpy,61220438
2021,1,pandas,38813789
2021,1,plotly,4205321
2021,1,pymc3,199778
2021,1,pyspark,10469476
2021,1,pytorch,35310
2021,1,scikit-learn,16395403
2021,1,scipy,23171198
2021,1,scrapy,1288512
2021,1,seaborn,3183565
2021,1,selenium,5980962
2021,1,streamlit,199258
2021,1,tensorflow,8194753
2021,1,torch,2654663
2021,1,xgboost,4053886
2021,2,altair,1030807
2021,2,beautifulsoup,459909
2021,2,bokeh,1277219
2021,2,dash,375823
2021,2,django,6520269
2021,2,flask,18210851
2021,2,keras,2911491
2021,2,lightgbm,2305189
2021,2,matplotlib,16056558
2021,2,numpy,60018900
2021,2,pandas,39955590
2021,2,plotly,4466414
2021,2,pymc3,197771
2021,2,pyspark,9344142
2021,2,pytorch,32202
2021,2,scikit-learn,16653410
2021,2,scipy,23341606
2021,2,scrapy,2113205
2021,2,seaborn,3561783
2021,2,selenium,6260934
2021,2,streamlit,213709
2021,2,tensorflow,8594055
2021,2,torch,2835915
2021,2,xgboost,4175893
2021,3,altair,1195959
2021,3,beautifulsoup,604579
2021,3,bokeh,1443920
2021,3,dash,450956
2021,3,django,7946031
2021,3,flask,22553775
2021,3,keras,3118447
2021,3,lightgbm,3323781
2021,3,matplotlib,18130216
2021,3,numpy,73280530
2021,3,pandas,47419314
2021,3,plotly,5559108
2021,3,polars,5049
2021,3,pymc3,246324
2021,3,pyspark,9862189
2021,3,pytorch,45495
2021,3,scikit-learn,20442784
2021,3,scipy,27042125
2021,3,scrapy,800018
2021,3,seaborn,5093280
2021,3,selenium,7527245
2021,3,streamlit,279006
2021,3,tensorflow,9963298
2021,3,torch,3703159
2021,3,xgboost,4988642
2021,4,altair,1233256
2021,4,beautifulsoup,576465
2021,4,bokeh,1426245
2021,4,dash,452608
2021,4,django,7503247
2021,4,flask,22430242
2021,4,keras,3185226
2021,4,lightgbm,3794414
2021,4,matplotlib,19567185
2021,4,numpy,70926265
2021,4,pandas,46373579
2021,4,plotly,5244421
2021,4,polars,6644
2021,4,pymc3,201691
2021,4,pyspark,9830232
2021,4,pytorch,43211
2021,4,scikit-learn,22240938
2021,4,scipy,29071104
2021,4,scrapy,783551
2021,4,seaborn,4876295
2021,4,selenium,6593578
2021,4,streamlit,248107
2021,4,tensorflow,9772313
2021,4,torch,3826051
2021,4,xgboost,5179933
2021,5,altair,1660284
2021,5,beautifulsoup,565301
2021,5,bokeh,1451538
2021,5,dash,496401
2021,5,django,7527528
2021,5,flask,25379557
2021,5,keras,3344734
2021,5,lightgbm,3936986
2021,5,matplotlib,20994773
2021,5,numpy,75956148
2021,5,pandas,49452022
2021,5,plotly,5385701
2021,5,polars,7694
2021,5,pymc3,233777
2021,5,pyspark,10204563
2021,5,pytorch,40714
2021,5,scikit-learn,22352209
2021,5,scipy,29636565
2021,5,scrapy,858681
2021,5,seaborn,5072389
2021,5,selenium,6358975
2021,5,streamlit,307087
2021,5,tensorflow,10425398
2021,5,torch,3848061
2021,5,xgboost,5307629
2021,6,altair,1709114
2021,6,beautifulsoup,467197
2021,6,bokeh,1927736
2021,6,dash,556502
2021,6,django,7813858
2021,6,flask,32268549
2021,6,keras,3286443
2021,6,lightgbm,3597102
2021,6,matplotlib,24654256
2021,6,numpy,79594702
2021,6,pandas,53244773
2021,6,plotly,5761428
2021,6,polars,11426
2021,6,pymc3,428618
2021,6,pyspark,11473457
2021,6,pytorch,38529
2021,6,scikit-learn,25288409
2021,6,scipy,32447674
2021,6,scrapy,961523
2021,6,seaborn,8123597
2021,6,selenium,6186153
2021,6,streamlit,338990
2021,6,tensorflow,9998343
2021,6,torch,4574555
2021,6,xgboost,6283900
2021,7,altair,1865585
2021,7,beautifulsoup,411110
2021,7,bokeh,1678912
2021,7,dash,613838
2021,7,django,7109153
2021,7,flask,54667522
2021,7,keras,3491124
2021,7,lightgbm,4553228
2021,7,matplotlib,27768443
2021,7,numpy,80566322
2021,7,pandas,64570113
2021,7,plotly,5863371
2021,7,polars,21130
