year,month,project,downloads
2022,1,matplotlib,27282326
2022,1,numpy,93544085
2022,1,pandas,75761486
2022,1,plotly,6773482
2022,1,polars,55753
2022,1,pytorch,44527
2022,1,requests,139511126
2022,1,seaborn,6004771
2022,1,selenium,8459137
2022,1,shiny,129
2022,1,streamlit,819471
2022,1,tensorflow,15886200
2022,2,beautifulsoup,530073
2022,2,dash,800840
2022,2,django,7114131
2022,2,flask,39070384
2022,2,keras,8385075
2022,2,matplotlib,22598820
2022,2,numpy,92061041
2022,2,pandas,70359763
2022,2,plotly,6778479
2022,2,polars,57102
2022,2,pytorch,43260
2022,2,requests,136353135
2022,2,seaborn,6861142
2022,2,selenium,9760188
2022,2,shiny,2361
2022,2,streamlit,797565
2022,2,tensorflow,14837906
2022,3,beautifulsoup,677767
2022,3,dash,974866
2022,3,django,8082044
2022,3,flask,49736793
2022,3,keras,9236138
2022,3,matplotlib,26232721
2022,3,numpy,109236564
2022,3,pandas,84984997
2022,3,plotly,7886518
2022,3,polars,75512
2022,3,pytorch,53169
2022,3,requests,165538516
2022,3,seaborn,8129253
2022,3,selenium,13394395
2022,3,shiny,3674
2022,3,streamlit,1026406
2022,3,tensorflow,16116993
2022,4,beautifulsoup,502248
2022,4,dash,840729
2022,4,django,7334585
2022,4,flask,58781326
2022,4,keras,8713808
2022,4,matplotlib,26393672
2022,4,numpy,108251445
2022,4,pandas,83453672
2022,4,plotly,7169783
2022,4,polars,67683
2022,4,pytorch,52974
2022,4,requests,192730583
2022,4,seaborn,8328132
2022,4,selenium,10537209
2022,4,shiny,4238
2022,4,streamlit,1009110
2022,4,tensorflow,14178608
2022,5,beautifulsoup,484019
2022,5,dash,888577
2022,5,django,7871407
2022,5,flask,71598296
2022,5,keras,11056170
2022,5,matplotlib,29877705
2022,5,numpy,119091376
2022,5,pandas,91258146
2022,5,plotly,7852078
2022,5,polars,81571
2022,5,pytorch,50883
2022,5,requests,219074175
2022,5,seaborn,10063278
2022,5,selenium,10930267
2022,5,shiny,3771
2022,5,streamlit,987457
2022,5,tensorflow,17921819
2022,6,beautifulsoup,495721
2022,6,dash,923313
2022,6,django,8520654
2022,6,flask,74628298
2022,6,keras,9801290
2022,6,matplotlib,29003316
2022,6,numpy,119231948
2022,6,pandas,91388266
2022,6,plotly,7797601
2022,6,polars,113851
2022,6,pytorch,46945
2022,6,requests,216142856
2022,6,seaborn,9101655
2022,6,selenium,11679493
2022,6,shiny,2815
2022,6,streamlit,890159
2022,6,tensorflow,17547922
2022,7,beautifulsoup,500619
2022,7,dash,977150
2022,7,django,8230256
2022,7,flask,77138655
2022,7,keras,8290125
2022,7,matplotlib,26527632
2022,7,numpy,129844225
2022,7,pandas,102287359
2022,7,plotly,8052511
2022,7,polars,153103
2022,7,pytorch,46733
2022,7,requests,227363552
2022,7,seaborn,7018954
2022,7,selenium,11278567
2022,7,shiny,3544
2022,7,streamlit,873029
2022,7,tensorflow,14444056
2022,8,beautifulsoup,536627
2022,8,dash,1059204
2022,8,django,8927227
2022,8,flask,98035158
2022,8,keras,8723513
2022,8,matplotlib,29214417
2022,8,numpy,138019261
2022,8,pandas,106361778
2022,8,plotly,8782486
2022,8,polars,151348
2022,8,pytorch,47576
2022,8,requests,242350389
2022,8,seaborn,8196368
2022,8,selenium,12372966
2022,8,shiny,5349
2022,8,streamlit,835274
2022,8,tensorflow,14064052
2022,9,beautifulsoup,563903
2022,9,dash,1218194
2022,9,django,8920972
2022,9,flask,111874176
2022,9,keras,9665498
2022,9,matplotlib,29209883
2022,9,numpy,136641393
2022,9,pandas,104694049
2022,9,plotly,7625664
2022,9,polars,149987
2022,9,pytorch,52468
2022,9,requests,232164767
2022,9,seaborn,9156338
2022,9,selenium,14695401
2022,9,shiny,5921
2022,9,streamlit,959083
2022,9,tensorflow,15570264
2022,10,beautifulsoup,591923
2022,10,dash,1083883
2022,10,django,8889979
2022,10,flask,113178826
2022,10,keras,10312518
2022,10,matplotlib,30669940
2022,10,numpy,139379190
2022,10,pandas,104151710
2022,10,plotly,7997534
2022,10,polars,152665
2022,10,pytorch,58341
2022,10,requests,237393604
2022,10,seaborn,8637089
2022,10,selenium,13746954
2022,10,shiny,6322
2022,10,streamlit,876492
2022,10,tensorflow,15861084
2022,11,beautifulsoup,622409
2022,11,dash,1072848
2022,11,django,9061842
2022,11,flask,96009034
2022,11,keras,9624088
2022,11,matplotlib,32300156
2022,11,numpy,134565898
2022,11,pandas,103609625
2022,11,plotly,8554224
2022,11,polars,188422
2022,11,pytorch,64678
2022,11,requests,241630622
2022,11,seaborn,8411858
2022,11,selenium,13100189
2022,11,shiny,6605
2022,11,streamlit,1022540
2022,11,tensorflow,15352744
2022,12,beautifulsoup,652517
2022,12,dash,911705
2022,12,django,8089881
2022,12,flask,67885767
2022,12,keras,10037721
2022,12,matplotlib,30523501
2022,12,numpy,134659731
2022,12,pandas,104881374
2022,12,plotly,7050181
2022,12,polars,213307
2022,12,pytorch,57383
2022,12,requests,268967924
2022,12,seaborn,8538787
2022,12,selenium,11640820
2022,12,shiny,5862
2022,12,streamlit,1042685
2022,12,tensorflow,15781945
2023,1,beautifulsoup,722175
2023,1,dash,1143664
2023,1,django,9723999
2023,1,flask,74408539
2023,1,keras,10507033
2023,1,matplotlib,32634643
2023,1,numpy,145803082
2023,1,pandas,110420320
2023,1,plotly,7538032
2023,1,polars,327545
2023,1,pytorch,63751
2023,1,requests,292614770
2023,1,seaborn,9817452
2023,1,selenium,13471375
2023,1,shiny,6276
2023,1,streamlit,1048048
2023,1,tensorflow,16332201
2023,2,beautifulsoup,701954
2023,2,dash,1144856
2023,2,django,9275076
2023,2,flask,64832664
2023,2,keras,9731580
2023,2,matplotlib,30075178
2023,2,numpy,137955242
2023,2,pandas,102283461
2023,2,plotly,7320299
2023,2,polars,423961
2023,2,pytorch,73075
2023,2,requests,271412522
2023,2,seaborn,8708979
2023,2,selenium,12173021
2023,2,shiny,5382
2023,2,streamlit,1265810
2023,2,tensorflow,15470405
2023,3,beautifulsoup,970707
2023,3,dash,1487300
2023,3,django,10407624
2023,3,flask,69061093
2023,3,keras,11429369
2023,3,matplotlib,36713319
2023,3,numpy,157359945
